MBLNR,BUDAT,MATNR,MAKTX,MENGE,MEINS,WERKS,LIFNR,EBELN
5000012301,15.01.2024,MAT-0021,Diesel (EN590),1.250,L,PLNT-MUM,VEND-0043,4500012345
5000012302,17.01.2024,MAT-0021,Diesel (EN590),980,L,PLNT-MUM,VEND-0043,4500012346
5000012303,18.01.2024,MAT-0022,Petrol (RON92),2.100,L,PLNT-DEL,VEND-0021,4500012347
5000012304,22.01.2024,MAT-0023,LPG Industrial,450,KG,PLNT-BLR,VEND-0055,4500012348
5000012305,25.01.2024,MAT-0021,Diesel (EN590),3.400,L,PLNT-DEL,VEND-0043,4500012349
5000012306,28.01.2024,MAT-0024,Furnace Oil,12.5,MT,PLNT-MUM,VEND-0067,4500012350
5000012307,02.02.2024,MAT-0021,Diesel (EN590),760,Ltr,PLNT-HYD,VEND-0043,4500012351
5000012308,05.02.2024,MAT-0022,Petrol (RON92),1.850,Litres,PLNT-MUM,VEND-0021,4500012352
5000012309,10.02.2024,MAT-0025,Natural Gas,22000,KG,PLNT-PUN,VEND-0088,4500012353
5000012310,12.02.2024,MAT-0023,LPG Industrial,,KG,PLNT-BLR,VEND-0055,4500012354
5000012311,14.02.2024,MAT-0021,Diesel (EN590),-200,L,PLNT-MUM,VEND-0043,4500012355
5000012312,18.02.2024,MAT-0021,Diesel (EN590),620000,L,PLNT-DEL,VEND-0043,4500012356
5000012313,20.02.2024,MAT-0022,Petrol (RON92),3.200,L,PLNT-CHN,VEND-0021,4500012357
5000012314,25.02.2024,MAT-0026,HSD (High Speed Diesel),4.100,L,PLNT-MUM,VEND-0099,4500012358
5000012315,01.03.2024,MAT-0021,Diesel (EN590),890,L,PLNT-HYD,VEND-0043,4500012359
5000012316,05.03.2024,MAT-0023,LPG Industrial,380,KG,PLNT-PUN,VEND-0055,4500012360
5000012317,08.03.2024,MAT-0024,Furnace Oil,8.2,MT,PLNT-MUM,VEND-0067,4500012361
5000012318,12.03.2024,MAT-0027,Strom,15000,kWh,PLNT-BLR,VEND-0112,4500012362
5000012319,15.03.2024,MAT-0021,Diesel (EN590),1.750,L,PLNT-DEL,VEND-0043,4500012363
5000012320,20.03.2024,MAT-0028,Diesel (EN590),500,GALLONS,PLNT-GOA,VEND-0043,4500012364
