Meter ID,Location,Period Start,Period End,Consumption,Unit,Tariff Code,Bill Amount (INR)
ELEC-MUM-001,BreatheESG Mumbai HQ,01/12/2023,03/01/2024,42850,kWh,HT-II-A,384650
ELEC-MUM-002,BreatheESG Mumbai Warehouse,01/12/2023,28/12/2023,18200,kWh,LT-II,163800
ELEC-DEL-001,BreatheESG Delhi Office,05/12/2023,04/01/2024,31400,kWh,HT-II-A,289480
ELEC-BLR-001,BreatheESG Bangalore Campus,01/12/2023,31/12/2023,67500,kWh,HT-II-B,641250
ELEC-BLR-002,BreatheESG Bangalore DataCenter,01/12/2023,31/12/2023,124000,kWh,HT-III,1178000
ELEC-HYD-001,BreatheESG Hyderabad Office,10/12/2023,09/01/2024,22600,kWh,LT-II,203400
ELEC-PUN-001,BreatheESG Pune R&D,01/12/2023,31/12/2023,15800,kWh,LT-II,142200
ELEC-CHN-001,BreatheESG Chennai Office,01/12/2023,02/01/2024,28900,kWh,HT-II-A,259100
ELEC-MUM-001,BreatheESG Mumbai HQ,03/01/2024,02/02/2024,39200,kWh,HT-II-A,352800
ELEC-MUM-003,BreatheESG Mumbai Data Room,01/01/2024,31/01/2024,8.5,MWh,HT-III,80750
ELEC-DEL-001,BreatheESG Delhi Office,04/01/2024,03/02/2024,29800,kWh,HT-II-A,268200
ELEC-BLR-001,BreatheESG Bangalore Campus,01/01/2024,31/01/2024,71200,kWh,HT-II-B,676400
ELEC-BLR-002,BreatheESG Bangalore DataCenter,01/01/2024,31/01/2024,131000,kWh,HT-III,1244500
ELEC-GOA-001,BreatheESG Goa Office,15/01/2024,14/02/2024,,kWh,LT-II,
ELEC-MUM-004,BreatheESG Mumbai Lab,01/01/2024,31/01/2024,-450,kWh,LT-II,
ELEC-PUN-001,BreatheESG Pune R&D,01/01/2024,31/01/2024,16400,kWh,LT-II,147600
ELEC-HYD-001,BreatheESG Hyderabad Office,09/01/2024,08/02/2024,24100,kWh,LT-II,216900
ELEC-BLR-003,BreatheESG Bangalore Canteen,01/01/2024,31/01/2024,3200,kWh,LT-I,28800
ELEC-MUM-002,BreatheESG Mumbai Warehouse,28/12/2023,25/01/2024,19600,kWh,LT-II,176400
ELEC-CHN-001,BreatheESG Chennai Office,02/01/2024,01/02/2024,27500,kWh,HT-II-A,247500
